loan_id,customer_id,loan_status,loan_amount,state,funded_amount,term,int_rate,installment,grade,issue_d,issue_date,issue_year,pymnt_plan,application.type,application.purpose,application.description,application.notes
25089,QWW+mlpAqeF0RUozuxD2hi/fGARZCe3XHP+l1zvMRbk=,Current,5000,NY,5000, 36 months,0.0531,150.56,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
82474,m1DtUg34EUQTD8+5flFovzZsNH3OCHUDTPkc+9gwkDs=,Current,10000,GA,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Joint App,home_improvement,Home improvement,desc
99461,0+fwSz95b3cy/C6t53bzQCXNh6HS87SvFOf888dj2ZI=,Current,10000,MI,10000, 60 months,0.0531,190.14,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
109050,jR6sbnOr9VcMSv9G9cjP/pOORKmRUf0hsoA2R3ed5U4=,Current,11000,NY,11000, 36 months,0.0531,331.22,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
162175,6iVq7nuaudscX4mLlk5n0CuWh3qf7JINApXwAYyFBhU=,Current,16000,CO,16000, 36 months,0.0531,481.76999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
222179,kiPohiLkznQ5tlsFjX9Sw62bMF3lvwgZ74+2EePCi2k=,Fully Paid,25000,WI,25000, 36 months,0.0531,752.76001,A,Apr-18,April 2018,2018,FALSE,Individual,home_improvement,Home improvement,desc
25070,QNtgZDAJvC5YHzGzyAMN2u1BjaMciUyRjEvDxpqPWBw=,Current,5000,CT,5000, 36 months,0.0531,150.56,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
38975,ej7Ob272U45UfhNoQMP7dNbsUJAgJebz2F6sNzrMMpw=,Current,6000,GA,6000, 36 months,0.0531,180.67,A,Apr-18,April 2018,2018,FALSE,Joint App,small_business,Business,desc
222187,4w+VFDTIFvqhFX1fdxrBxIVvBl///WDlTX65eJmQoIE=,Current,25000,CO,25000, 36 months,0.0531,752.76001,A,Apr-18,April 2018,2018,FALSE,Individual,credit_card,Credit card refinancing,desc
82495,GJRxPib7aCjmXcdekETTr3DfLOMFWtQFFyem2plBN2s=,Current,10000,WA,10000, 36 months,0.0531,301.10999,A,Apr-18,April 2018,2018,FALSE,Individual,debt_consolidation,Debt consolidation,desc
